name,locality,cuisines,rating,price_for_two,votes,city,source,price_band,primary_cuisine
Laxmi Bhojnalya,Indirapuram,North Indian,0.0,300,0,Ghaziabad,kaggle,Budget (≤₹300),North Indian
Harihar Bhojnalya,Karol Bagh,North Indian,0.0,300,0,New Delhi,kaggle,Budget (≤₹300),North Indian
Aggarwal Pavitra Bhojanalaya,Paharganj,North Indian,0.0,150,0,New Delhi,kaggle,Budget (≤₹300),North Indian
Jai Shri Balaji Sudh Vaishno Bhojanalya,Nizamuddin,North Indian,0.0,300,0,New Delhi,kaggle,Budget (≤₹300),North Indian
Avatar Hindu Bhojnalya,Chandni Chowk,North Indian,0.0,200,0,New Delhi,kaggle,Budget (≤₹300),North Indian
Baba Dhaba Ka Shudh Vaishno Bhojanalaya,Delhi University-Gtb Nagar,North Indian,0.0,200,0,New Delhi,kaggle,Budget (≤₹300),North Indian
Chirag Hotel,Sector 45,North Indian,0.0,150,0,Gurgaon,kaggle,Budget (≤₹300),North Indian
Shree Bhojnalaya,Sector 8,North Indian,0.0,200,0,Faridabad,kaggle,Budget (≤₹300),North Indian
Krishana Bhojnalaya,Vikaspuri,"North Indian, Chinese",0.0,300,0,New Delhi,kaggle,Budget (≤₹300),North Indian
Shudh Vaishno Bhojnalaya,Janakpuri,North Indian,0.0,150,0,New Delhi,kaggle,Budget (≤₹300),North Indian
Khushi Vaishno Bhojnalaya,Uttam Nagar,North Indian,0.0,200,0,New Delhi,kaggle,Budget (≤₹300),North Indian
Gupta Ji Naan Corner,Vasant Vihar,North Indian,0.0,300,0,New Delhi,kaggle,Budget (≤₹300),North Indian
Brijwasi Bhojnalaya,Raj Nagar,"North Indian, Fast Food",0.0,250,0,Ghaziabad,kaggle,Budget (≤₹300),North Indian
Shri Ganesh Bhojnalya,Chhatarpur,North Indian,0.0,150,0,New Delhi,kaggle,Budget (≤₹300),North Indian
Guru Kripa Bhojnalaya,Munirka,North Indian,0.0,150,0,New Delhi,kaggle,Budget (≤₹300),North Indian
Uttaranchal Bhojnalaya,Laxmi Nagar,North Indian,0.0,300,0,New Delhi,kaggle,Budget (≤₹300),North Indian
Inder Bhojnalaya,Uttam Nagar,North Indian,0.0,150,0,New Delhi,kaggle,Budget (≤₹300),North Indian
Maa Raina Wali Dhaba,Sector 83,North Indian,0.0,150,0,Gurgaon,kaggle,Budget (≤₹300),North Indian
Mehak Bhojnalya,Sector 5,North Indian,0.0,300,0,Gurgaon,kaggle,Budget (≤₹300),North Indian
Shree Govind Bhojnalaya,New Friends Colony,North Indian,0.0,300,0,New Delhi,kaggle,Budget (≤₹300),North Indian
Bansal Bhojanalya,Yusuf Sarai,North Indian,0.0,350,0,New Delhi,kaggle,Mid (₹300-700),North Indian
Laxmi Bhojnalaya,Azadpur,North Indian,0.0,200,0,New Delhi,kaggle,Budget (≤₹300),North Indian
Sai Bhojnalya,Nizamuddin,North Indian,0.0,200,0,New Delhi,kaggle,Budget (≤₹300),North Indian
Baghel Bhojnalaya,Sainik Farms,North Indian,0.0,150,0,New Delhi,kaggle,Budget (≤₹300),North Indian
Gaurav Bhojanalya,Kapashera,North Indian,0.0,150,0,New Delhi,kaggle,Budget (≤₹300),North Indian
Anurag Bhojanalya,Mahipalpur,North Indian,0.0,250,0,New Delhi,kaggle,Budget (≤₹300),North Indian
Sharma Bhojnalaya,Azadpur,North Indian,0.0,300,0,New Delhi,kaggle,Budget (≤₹300),North Indian
Manish Bhojnalya,Sector 17,North Indian,0.0,200,0,Gurgaon,kaggle,Budget (≤₹300),North Indian
Rimal Bhojanalya ,Kapashera,North Indian,0.0,250,0,New Delhi,kaggle,Budget (≤₹300),North Indian
Shudh Shakahari Bhojnalaya,Palam,North Indian,0.0,250,0,New Delhi,kaggle,Budget (≤₹300),North Indian
